;zipcode;city
282;6064;Jordrup
283;6070;Christiansfeld
284;6091;Bjert
285;6092;Sønder Stenderup
286;6093;Sjølund
287;6094;Hejls
288;6100;Haderslev
289;6200;Aabenraa
290;6230;Rødekro
291;6240;Løgumkloster
292;6261;Bredebro
293;6270;Tønder
294;6280;Højer
295;6300;Gråsten
296;6310;Broager
297;6320;Egernsund
298;6330;Padborg
299;6340;Kruså
300;6360;Tinglev
301;6372;Bylderup-Bov
302;6392;Bolderslev
303;6400;Sønderborg
304;6430;Nordborg
305;6440;Augustenborg
306;6470;Sydals
307;6500;Vojens
308;6510;Gram
309;6520;Toftlund
310;6535;Branderup J
311;6541;Bevtoft
312;6560;Sommersted
313;6580;Vamdrup
314;6600;Vejen
315;6621;Gesten
316;6622;Bække
317;6623;Vorbasse
318;6630;Rødding
319;6640;Lunderskov
320;6650;Brørup
321;6660;Lintrup
322;6670;Holsted
323;6682;Hovborg
324;6683;Føvling
325;6690;Gørding
326;6700;Esbjerg
327;6701;Esbjerg
328;6705;Esbjerg Ø
329;6710;Esbjerg V
330;6715;Esbjerg N
331;6720;Fanø
332;6731;Tjæreborg
333;6740;Bramming
334;6752;Glejbjerg
335;6760;Ribe
336;6771;Gredstedbro
337;6780;Skærbæk
338;6792;Rømø
339;6800;Varde
340;6818;Årre
341;6823;Ansager
342;6830;Nørre Nebel
343;6840;Oksbøl
344;6851;Janderup
345;6852;Billum
346;6853;Vejers Strand
347;6854;Henne
348;6855;Outrup
349;6857;Blåvand
350;6862;Tistrup
351;6870;Ølgod
352;6880;Tarm
353;6893;Hemmet
354;6900;Skjern
355;6920;Videbæk
356;6933;Kibæk
357;6940;Lem St
358;6950;Ringkøbing
359;6960;Hvide Sande
360;6971;Spjald
361;6973;Ørnhøj
362;6980;Tim
363;6990;Ulfborg
364;7000;Fredericia
365;7080;Børkop
366;7100;Vejle
367;7120;Vejle Øst
368;7130;Juelsminde
369;7140;Stouby
370;7150;Barrit
371;7160;Tørring
372;7171;Uldum
373;7173;Vonge
374;7182;Bredsten
375;7183;Randbøl
376;7184;Vandel
377;7190;Billund
378;7200;Grindsted
379;7250;Hejnsvig
380;7260;Sønder Omme
381;7270;Stakroge
382;7280;Sønder Felding
383;7300;Jelling
384;7321;Gadbjerg
385;7323;Give
386;7330;Brande
387;7361;Ejstrupholm
388;7362;Hampen
389;7400;Herning
390;7430;Ikast
391;7441;Bording
392;7442;Engesvang
393;7451;Sunds
394;7470;Karup J
395;7480;Vildbjerg
396;7490;Aulum
397;7500;Holstebro
398;7540;Haderup
399;7550;Sørvad
400;7560;Hjerm
401;7570;Vemb
402;7600;Struer
403;7620;Lemvig
404;7650;Bøvlingbjerg
405;7660;Bækmarksbro
406;7673;Harboøre
407;7680;Thyborøn
408;7700;Thisted
409;7730;Hanstholm
410;7741;Frøstrup
411;7742;Vesløs
412;7752;Snedsted
413;7755;Bedsted Thy
414;7760;Hurup Thy
415;7770;Vestervig
416;7790;Thyholm
417;7800;Skive
418;7830;Vinderup
419;7840;Højslev
420;7850;Stoholm, Jylland
421;7860;Spøttrup
422;7870;Roslev
423;7884;Fur
424;7900;Nykøbing M
425;7950;Erslev
426;7960;Karby
427;7970;Redsted M
428;7980;Vils
429;7990;Øster Assels
430;8000;Århus C
431;8200;Århus N
432;8210;Århus V
433;8220;Brabrand
434;8230;Åbyhøj
435;8240;Risskov
436;8250;Egå
437;8260;Viby J
438;8270;Højbjerg
439;8300;Odder
440;8305;Samsø
441;8310;Tranbjerg J
442;8320;Mårslet
443;8330;Beder
444;8340;Malling
445;8350;Hundslund
446;8355;Solbjerg
447;8361;Hasselager
448;8362;Hørning
449;8370;Hadsten
450;8380;Trige
451;8381;Tilst
452;8382;Hinnerup
453;8400;Ebeltoft
454;8410;Rønde
455;8420;Knebel
456;8444;Balle
457;8450;Hammel
458;8462;Harlev J
459;8464;Galten
460;8471;Sabro
461;8472;Sporup
462;8500;Grenaa
463;8520;Lystrup
464;8530;Hjortshøj
465;8541;Skødstrup
466;8543;Hornslet
467;8544;Mørke
468;8550;Ryomgård
469;8560;Kolind
470;8570;Trustrup
471;8581;Nimtofte
472;8585;Glesborg
473;8586;Ørum Djurs
474;8592;Anholt
475;8600;Silkeborg
476;8620;Kjellerup
477;8632;Lemming
478;8641;Sorring
479;8643;Ans by
480;8653;Them
481;8654;Bryrup
482;8660;Skanderborg
483;8670;Låsby
484;8680;Ry
485;8700;Horsens
486;8721;Daugård
487;8722;Hedensted
488;8723;Løsning
489;8732;Hovedgård
490;8740;Brædstrup
491;8751;Gedved
492;8752;Østbirk
493;8762;Flemming
494;8763;Rask Mølle
495;8765; Klovborg
496;8766;Nørre Snede
497;8781;Stenderup
498;8783;Hornsyld
499;8800;Viborg
500;8830;Tjele
501;8831;Løgstrup
502;8832;Skals
503;8840;Rødkærsbro
504;8850;Bjerringbro
505;8860;Ulstrup
506;8870;Langå
507;8881;Thorsø
508;8882;Fårvang
509;8883;Gjern
510;8900;Randers
511;8950;Ørsted
512;8961;Allingåbro
513;8963;Auning
514;8970;Havndal
515;8981;Spenstrup
516;8983;Gjerlev J
517;8990;Fårup
518;9000;Aalborg
519;9200;Aalborg SV
520;9210;Aalborg SØ
521;9220;Aalborg Øst
522;9230;Svenstrup J
523;9240;Nibe
524;9260;Gistrup
525;9270;Klarup
526;9280;Storvorde
527;9293;Kongerslev
528;9300;Sæby
529;9310;Vodskov
530;9320;Hjallerup
531;9330;Dronninglund
532;9340;Asaa
533;9352;Dybvad
534;9362;Gandrup
535;9370;Hals
536;9380;Vestbjerg
537;9381;Sulsted
538;9382;Tylstrup
539;9400;Nørresundby
540;9430;Vadum
541;9440;Aabybro
542;9460;Brovst
543;9480;Løkken
